"N","Camisa","Nome","InStat Index","Partidas jogadas","Minutos jogados","Escalações no time titular","Substituído","Substituindo","Gols","Assistências","Impedimentos","Cartões amarelos","Cartões vermelhos","Chutes","Chutes/gol","Pênalti","Pênaltis convertidos","Cobranças de pênalti convertidas, %","Passes","% de precisão dos passes","Passes chave","Cruzamentos","% de precisão nos cruzamentos","Bolas perdidas","Bolas perdidas / no próprio campo","Bolas recuperadas","Bolas recuperadas no campo do adversário","xG (Gols esperados)","Disputas","% disputas ganhas","Disputas no ataque","Disputas aéreas","% disputas aéreas ganhas","Dribles","Desarmes","Interceptações","Rebotes"
"437",20,"Ayomide Akinola","221",16,"1194","11","7","5","9","0","12","1","0","34","19","0","0","0","176","78%","5","2","100%","120","15","5","2","6","216","31%","186","75","27%","33","12","8","16"
"438",34,"Joey DeZart","221",12,"446","4","3","8","0","0","0","0","0","2","1","0","0","0","199","87%","2","0","0","16","4","11","6","0.05","35","43%","17","2","50%","6","9","17","31"
"439",6,"M. Navarro","221",19,"1084","10","4","9","0","1","0","1","0","9","1","0","0","0","517","77%","12","34","21%","87","19","49","11","0.55","153","52%","38","22","68%","9","47","54","60"
"440",19,"Bryce Duke","221",11,"283","2","2","9","0","0","0","0","0","3","1","0","0","0","187","81%","2","5","20%","39","5","12","4","0.08","65","49%","30","8","38%","8","17","14","22"
"441",37,"Caden Clark","221",8,"369","4","4","4","3","0","0","0","0","5","3","0","0","0","105","62%","4","3","0","28","4","10","2","0.42","70","40%","42","13","31%","10","17","17","22"
"442",22,"Jurgen Damm Rascon","220",14,"683","7","8","7","0","3","2","1","0","7","1","0","0","0","243","74%","6","38","32%","68","13","19","4","0.59","95","49%","76","16","56%","37","9","21","26"
"443",16,"Micheal Azira","220",6,"150","1","0","5","0","0","0","1","0","1","0","0","0","0","76","82%","1","3","0","11","2","11","3","0.04","21","67%","5","7","86%","2","4","12","8"
"444",77,"Robinho","220",6,"170","2","2","4","0","0","0","0","0","4","1","0","0","0","82","78%","0","8","13%","19","2","4","0","0.3","36","42%","25","1","0","19","7","4","7"
"445",11,"Jaroslaw Niezgoda","220",21,"815","7","8","14","8","2","0","0","0","18","12","1","1","100%","157","76%","6","0","0","59","8","9","4","3.9","151","32%","127","64","25%","21","9","12","26"
"446",11,"J. Ballou Tabla","220",5,"118","0","1","5","1","0","0","0","0","4","2","0","0","0","35","77%","3","2","0","17","2","1","1","0.71","31","23%","26","1","0","11","4","2","2"
"447",26,"E. Calvillo","220",7,"208","1","1","6","0","0","0","0","0","1","1","0","0","0","106","85%","0","0","0","17","6","4","0","0.09","17","47%","9","1","100%","4","3","6","10"
"448",13,"Nick Besler","220",12,"607","6","3","6","0","0","0","2","0","3","1","0","0","0","279","86%","1","2","50%","36","7","28","8","1.09","77","47%","34","19","42%","9","23","36","42"
"449",11,"Thomas Chacon Yona","220",4,"185","1","1","3","0","0","1","1","0","1","1","0","0","0","41","80%","0","3","67%","16","6","4","2","0.02","32","28%","22","3","0","12","6","12","7"
"450",26,"Nicolas Brian Acevedo Tabarez","220",14,"220","1","1","13","0","0","0","1","0","1","0","1","1","100%","141","91%","1","0","0","10","7","10","5","0.06","50","48%","17","9","44%","3","20","10","20"
"451",25,"Mohammed Abu","219",6,"359","4","2","2","0","0","0","2","0","1","0","0","0","0","214","86%","2","1","0","25","5","20","3","0.04","48","46%","17","12","25%","4","13","23","26"
"452",11,"David Accam","219",7,"227","2","2","5","1","0","0","0","0","6","3","0","0","0","54","83%","2","5","60%","18","2","4","1","0.3","43","40%","33","4","100%","11","8","3","10"
"453",31,"Julian Gressel","219",22,"1820","19","10","3","2","3","5","1","0","27","6","0","0","0","975","71%","30","60","27%","186","34","78","25","2.2","202","41%","83","37","43%","26","68","71","115"
"454",19,"Cory Burke","219",6,"166","0","0","6","2","0","0","0","0","9","5","0","0","0","40","70%","1","2","0","22","2","3","3","1.43","46","35%","37","25","36%","5","3","4","2"
"455",8,"J. Stroud","219",21,"1026","11","9","10","0","3","1","1","0","8","0","0","0","0","408","68%","30","47","23%","100","15","35","19","0.38","144","40%","76","20","30%","17","38","51","75"
"456",70,"Handwalla Bwana","219",10,"346","3","3","7","1","1","0","0","0","4","3","0","0","0","116","78%","2","6","33%","29","2","5","3","1.79","49","37%","36","7","29%","11","10","14","19"
"457",30,"Kevin Paredes","219",17,"1034","9","5","8","0","1","0","1","0","5","3","0","0","0","405","79%","7","8","13%","89","24","36","9","0.74","174","41%","84","22","32%","41","48","55","45"
"458",77,"Daniel Royer","218",21,"1476","16","11","5","4","3","8","0","0","30","11","0","0","0","475","76%","17","16","19%","163","20","24","11","4.8","289","40%","223","129","43%","33","24","42","55"
"459",5,"Kyle Beckerman","218",11,"450","5","4","6","0","0","0","4","2","3","2","0","0","0","230","84%","2","1","100%","22","3","20","5","0.27","52","48%","21","13","46%","7","16","25","37"
"460",20,"Ema Boateng","218",12,"388","3","3","9","0","0","1","2","0","3","2","0","0","0","123","80%","2","6","0","19","2","10","3","0.38","51","45%","34","11","18%","8","5","13","21"
"461",37,"Shandon Hopeau","218",6,"150","1","1","5","0","0","0","1","0","5","2","0","0","0","51","78%","0","3","0","16","3","3","2","0.43","17","18%","12","1","100%","6","2","0","13"
"462",17,"Leonard Owusu","218",21,"1517","15","6","6","0","1","0","2","0","12","0","1","1","100%","563","88%","3","4","50%","73","27","72","20","0.83","197","44%","83","27","52%","32","71","62","116"
"463",31,"Dante Sealy","218",5,"78","0","0","5","0","0","0","0","0","3","1","0","0","0","29","90%","0","2","50%","6","0","4","2","0.44","19","42%","12","3","67%","5","2","2","4"
"464",31,"Russell Teibert","217",21,"1816","20","7","1","0","0","0","3","0","6","5","0","0","0","752","90%","6","11","36%","65","14","83","20","0.67","160","35%","52","23","9%","10","61","92","100"
"465",16,"Danny Musovski","217",17,"733","6","3","11","5","1","6","0","0","19","15","0","0","0","140","74%","4","3","0","68","5","8","3","2.5","133","25%","107","38","29%","21","16","12","15"
"466",29,"Ethan Zubak","217",15,"830","11","9","4","2","0","11","2","0","15","7","0","0","0","176","76%","5","2","0","106","17","9","4","3.2","176","37%","147","72","39%","22","14","13","19"
"467",67,"C. Harvey","217",6,"125","1","1","5","0","0","0","1","0","0","0","0","0","0","44","86%","0","0","0","8","3","6","1","0","22","59%","9","4","75%","2","7","5","6"
"468",24,"Jacob Shaffelburg","217",5,"160","1","1","4","0","0","0","0","0","3","0","0","0","0","43","58%","3","5","20%","20","2","5","1","0.21","26","23%","18","5","0","10","2","5","15"
"469",99,"J. Cádiz","216",10,"474","3","3","7","2","0","9","0","0","17","6","0","0","0","110","75%","2","3","33%","63","9","0","0","1.96","119","45%","108","57","46%","14","5","6","12"
"470",11,"M. Ibarra","216",12,"309","3","3","9","0","0","4","0","0","7","3","0","0","0","103","82%","0","2","50%","15","3","9","3","1.59","32","44%","17","8","63%","4","6","9","14"
"471",33,"Caleb Stanko","216",14,"607","6","5","8","0","0","0","3","0","0","0","0","0","0","248","89%","0","0","0","23","13","22","3","0","55","49%","18","12","58%","5","23","30","30"
"472",28,"Elliott Collier","216",21,"618","2","2","19","0","0","2","0","0","18","7","0","0","0","145","63%","10","12","8%","82","8","13","4","2.1","144","35%","115","39","36%","48","16","22","14"
"473",13,"Brandt Bronico","216",10,"312","3","2","7","0","0","0","1","0","1","0","0","0","0","189","83%","2","4","25%","17","1","25","5","0.11","47","47%","15","6","50%","9","12","26","28"
"474",26,"Adrien Perez","216",10,"376","2","2","8","0","0","0","0","0","7","1","0","0","0","112","74%","6","6","0","33","5","6","3","0.51","71","38%","53","13","15%","23","11","5","15"
"475",8,"Allan Enzo Cruz Leal","216",15,"860","8","5","7","1","0","1","2","0","8","3","1","1","100%","257","80%","4","11","27%","59","14","14","7","0.8","114","41%","73","27","26%","17","23","14","27"
"476",9,"Matheus Rossetto","216",15,"840","10","7","5","0","0","0","1","0","3","1","0","0","0","542","89%","1","5","40%","44","13","21","8","0.05","90","40%","53","15","33%","15","17","21","58"
"477",44,"Cade Cowell","216",19,"585","4","3","15","1","1","0","0","0","15","9","0","0","0","126","72%","10","8","25%","68","11","12","3","1.37","144","33%","103","30","30%","40","20","16","22"
"478",9,"Adrien Regattin","215",11,"732","8","5","3","0","2","2","0","0","10","4","0","0","0","272","80%","8","11","46%","64","24","15","7","0.5600000000000001","105","45%","78","29","28%","23","17","15","36"
"479",34,"F. Higuaín","215",14,"249","0","0","14","2","0","1","1","0","6","4","0","0","0","189","78%","1","1","0","28","5","5","3","0.85","27","19%","13","4","25%","4","8","3","10"
"480",8,"C. Wondolowski","215",25,"1536","14","7","11","9","1","9","2","0","28","20","3","2","67%","339","81%","10","5","0","111","18","24","6","8","173","32%","125","68","29%","20","21","19","45"
"481",15,"Eric Miller","215",7,"478","5","1","2","0","0","0","0","0","1","0","0","0","0","223","79%","0","12","42%","30","2","16","5","0.3","43","51%","14","15","73%","2","8","16","32"
"482",10,"Tomas Martinez","215",11,"381","3","3","8","0","0","1","1","0","7","1","0","0","0","234","84%","2","8","13%","42","7","8","4","0.7","71","25%","40","9","22%","17","20","8","27"
"483",28,"Shamit Shome","215",12,"332","4","4","8","0","0","0","0","0","0","0","0","0","0","143","77%","2","4","25%","34","8","20","7","0","53","38%","27","10","30%","8","14","20","22"
"484",10,"Jurgen Locadia","214",18,"1485","15","3","3","2","0","14","0","0","51","17","2","1","50%","419","82%","8","9","22%","153","43","21","7","5.8","238","38%","194","55","35%","32","18","25","48"
"485",91,"Oniel David Fisher","214",15,"755","6","4","9","0","0","1","1","0","0","0","0","0","0","304","77%","4","12","25%","50","19","38","6","0","98","41%","33","23","26%","17","19","46","46"
"486",18,"Jack Maher","214",3,"131","2","2","1","0","0","0","0","0","0","0","0","0","0","44","89%","1","0","0","4","2","12","2","0","7","100%","1","2","100%","0","2","6","8"
"487",16,"Dru Yearwood","214",13,"689","9","8","4","0","0","0","3","0","4","1","0","0","0","293","75%","2","2","0","53","7","39","15","0.11","123","58%","49","13","69%","20","42","48","60"
"488",4,"Johan Kappelhof","213",4,"221","2","0","2","0","0","0","1","0","1","0","0","0","0","93","82%","0","2","100%","10","1","22","3","0.01","34","59%","7","10","50%","1","6","12","15"
"489",90,"Marc Rzatkowski","213",17,"790","7","6","10","0","1","1","1","0","9","3","0","0","0","406","77%","5","19","16%","51","8","31","15","0.33","126","48%","65","15","67%","25","38","26","56"
"490",12,"J. Agudelo","213",15,"985","10","4","5","3","0","7","2","1","16","5","0","0","0","260","76%","7","3","0","103","13","21","10","3.7","183","33%","146","61","39%","22","22","30","39"
"491",9,"C. Sapong","213",11,"540","4","2","7","2","0","1","1","0","9","3","1","1","100%","129","67%","6","5","20%","74","15","8","3","3","150","45%","128","63","52%","14","9","14","14"
"492",12,"A. Schoenfeld","213",18,"542","3","3","15","1","0","1","0","0","14","6","1","1","100%","121","79%","2","2","0","62","8","7","5","2.5","124","43%","112","55","38%","7","7","10","9"
"493",4,"C. Makoun","213",4,"203","2","1","2","0","0","0","0","0","0","0","0","0","0","66","67%","0","0","0","15","9","14","1","0","18","61%","1","3","67%","0","5","21","7"
"494",17,"Benjamin Mines","213",5,"198","1","1","4","1","1","0","0","0","3","1","0","0","0","62","68%","1","12","25%","17","4","6","2","0.74","38","42%","24","6","33%","11","12","2","10"
"495",21,"O. Fernandez","213",15,"632","5","4","10","2","1","0","0","0","9","3","0","0","0","163","74%","9","3","0","51","12","19","7","2","110","37%","74","24","8%","22","20","15","27"
"496",11,"Siem De Jong","212",16,"888","8","7","8","0","0","1","0","0","18","6","2","1","50%","272","76%","9","3","0","75","17","16","1","2.2","111","49%","74","26","50%","20","19","19","26"
"497",29,"Y. Reyna","212",14,"733","7","5","7","1","1","2","1","0","12","4","1","0","0","220","84%","5","4","25%","78","19","6","3","1.3","112","29%","93","16","19%","31","7","10","21"
"498",12,"D. Martìnez","212",19,"992","10","7","9","3","0","4","2","1","20","10","0","0","0","248","76%","8","24","25%","113","20","7","2","3.1","215","33%","173","74","31%","28","24","11","24"
"499",14,"D. Ríos","212",21,"870","8","7","13","5","0","1","0","0","30","13","0","0","0","202","84%","2","3","0","95","15","5","4","5.1","175","30%","147","75","28%","21","9","12","22"
"500",27,"Emil Cuello","212",11,"274","2","2","9","0","0","1","1","0","2","2","0","0","0","88","73%","4","7","14%","30","7","11","5","0.06","49","29%","28","9","33%","8","11","18","6"
"501",80,"Jayden Nelson","212",8,"230","2","2","6","0","0","0","2","0","5","1","0","0","0","55","76%","0","2","0","17","1","3","0","0.32","63","37%","41","8","25%","28","18","5","8"
"502",9,"Danny Hoesen","211",9,"301","3","3","6","1","0","0","1","0","11","4","0","0","0","77","68%","3","5","20%","28","4","5","2","2.3","54","41%","40","17","59%","10","7","5","10"
"503",20,"Daniel Salloi","211",8,"206","1","1","7","0","0","1","0","0","5","4","1","0","0","60","78%","3","1","0","16","1","6","4","0.64","27","33%","18","6","50%","2","4","6","11"
"504",42,"Brian White","211",19,"965","10","9","9","6","1","10","1","0","21","12","0","0","0","225","64%","7","3","0","140","17","8","4","3.7","231","28%","191","122","27%","13","19","22","23"
"505",2,"Alvas Elvis Powell","210",5,"309","3","0","2","0","0","0","1","0","2","2","0","0","0","123","67%","3","6","17%","31","10","23","4","0.04","54","57%","20","7","57%","8","15","24","25"
"506",11,"Y. González","210",9,"495","7","6","2","0","1","2","0","0","11","6","0","0","0","127","72%","2","9","11%","50","6","8","3","1.33","97","46%","77","35","46%","11","8","14","14"
"507",13,"Christian Ramirez","210",15,"736","8","6","7","2","1","4","0","0","11","8","0","0","0","169","72%","6","3","0","68","10","12","6","2.1","90","30%","74","39","28%","5","4","16","16"
"508",15,"M. Castro","210",10,"309","3","3","7","0","0","1","0","0","8","3","0","0","0","70","71%","1","5","20%","32","7","5","1","1.19","60","45%","40","17","24%","13","12","6","4"
"509",7,"Abu Danladi","210",17,"613","7","8","10","2","1","1","1","0","15","4","0","0","0","152","74%","7","13","23%","70","10","14","3","2","169","36%","117","27","15%","28","33","14","20"
"510",27,"Moses Nyeman","210",11,"548","5","3","6","0","0","0","2","0","2","0","0","0","0","273","83%","3","1","0","40","15","23","4","0.07000000000000001","93","48%","40","14","43%","12","24","29","32"
"511",28,"J. Ramírez","210",10,"125","0","0","10","0","0","0","1","0","4","1","0","0","0","40","73%","2","3","0","14","1","2","1","0.26","33","36%","23","6","17%","11","6","1","8"
"512",28,"Tyler Wolff","210",5,"141","1","1","4","0","0","0","0","0","0","0","0","0","0","45","87%","1","1","0","5","1","4","0","0","20","45%","12","3","0","4","6","2","12"
"513",8,"U. Segura","209",10,"738","7","4","3","0","0","5","1","0","8","5","0","0","0","202","78%","3","8","50%","83","12","13","6","0.53","140","36%","110","43","23%","22","15","15","29"
"514",12,"J. Rennicks","209",7,"71","0","0","7","0","0","0","0","0","2","0","0","0","0","18","94%","0","0","0","6","1","4","1","0.75","15","47%","10","3","0","3","3","0","2"
"515",14,"Jay Chapman","208",8,"245","2","2","6","0","0","0","1","0","1","0","0","0","0","108","91%","2","0","0","13","2","10","4","0.28","27","59%","11","8","75%","4","9","5","9"
"516",11,"A. Jackson0Hamel","208",9,"317","3","3","6","0","0","1","2","0","8","2","0","0","0","78","74%","1","2","50%","40","10","3","0","0.8","69","33%","58","22","32%","10","6","10","11"
"517",9,"Dominique Badji","208",12,"773","10","9","2","1","1","7","1","0","16","5","0","0","0","139","78%","6","7","14%","73","7","7","5","2.8","143","36%","112","57","33%","8","15","4","19"
"518",13,"P. Mullins","208",18,"521","4","4","14","2","1","4","1","0","10","5","0","0","0","143","72%","5","6","17%","59","9","5","2","0.9399999999999999","102","39%","73","43","44%","15","15","10","17"
"519",13,"Tesho Akindele","208",23,"1267","12","11","11","4","0","7","0","0","15","8","1","1","100%","333","80%","3","9","45%","108","19","18","9","3.7","183","39%","149","78","46%","12","13","20","29"
"520",74,"Tom Barlow","208",22,"1140","13","11","9","3","0","17","0","0","32","19","0","0","0","230","74%","7","9","22%","135","17","10","7","4.8","275","30%","214","109","31%","30","29","8","25"
"521",14,"Chicharito","207",12,"807","7","3","5","2","0","7","0","0","19","8","1","0","0","179","77%","3","5","20%","56","9","3","1","2.9","83","35%","74","33","27%","14","3","7","12"
"522",32,"Patrick Metcalfe","207",7,"230","2","1","5","0","0","0","0","0","0","0","0","0","0","68","91%","0","0","0","5","2","8","1","0","23","48%","7","3","33%","4","12","7","8"
"523",87,"Tosaint Ricketts","206",16,"522","5","5","11","2","0","3","0","0","5","2","0","0","0","105","79%","1","1","0","48","6","16","7","0.82","91","30%","69","31","19%","10","12","17","17"
"524",17,"Nico Lemoine","206",11,"214","0","0","11","0","0","0","1","0","1","0","0","0","0","41","71%","2","5","20%","13","0","1","1","0.03","26","50%","15","8","25%","5","5","2","4"
"525",29,"Krisztian Nemeth","205",5,"215","2","1","3","1","0","0","0","0","3","1","0","0","0","38","79%","1","0","0","18","5","2","1","1.11","30","27%","24","13","31%","4","4","5","7"
"526",19,"Alan Winn","204",7,"268","1","1","6","0","0","0","0","0","3","1","0","0","0","120","83%","0","10","30%","23","1","6","4","0.24","43","28%","32","9","44%","15","7","17","22"
"527",14,"Thelonius Bair","204",17,"608","7","6","10","1","0","2","0","0","8","5","0","0","0","122","75%","3","5","20%","59","15","9","3","0.75","97","43%","84","47","55%","5","6","11","19"
"528",7,"Patrick Seagrist","203",3,"258","3","1","0","0","0","0","1","0","0","0","0","0","0","109","74%","0","2","0","17","7","21","2","0","39","51%","7","18","56%","1","10","16","21"
"529",9,"Ola Williams Kamara","202",22,"1432","17","14","5","4","0","22","0","0","24","9","2","2","100%","374","77%","7","3","0","177","35","21","9","4.4","290","39%","240","138","40%","23","24","22","33"
"530",27,"Clement Bayiha","202",4,"83","1","1","3","0","0","0","0","0","0","0","0","0","0","32","72%","1","3","0","5","1","1","0","0","10","50%","4","1","100%","3","3","3","5"
"531",27,"Ryan Raposo","202",15,"454","2","2","13","0","0","4","1","0","0","0","0","0","0","130","81%","3","6","50%","38","7","8","0","0","55","29%","36","9","22%","13","10","15","16"
"532",21,"J. Carranza","200",17,"662","5","4","12","2","0","5","3","0","11","5","0","0","0","85","75%","2","2","0","75","11","14","6","2.2","164","41%","120","38","24%","15","18","12","16"
"533",7,"Andrew Wooten","199",18,"544","4","4","14","1","2","5","0","0","4","2","0","0","0","139","78%","3","5","40%","38","8","9","3","1.13","50","36%","34","15","13%","4","8","7","18"
"534",13,"Mason Toye","199",16,"725","8","8","8","2","1","5","1","0","10","5","0","0","0","125","81%","1","5","20%","64","10","1","1","1.62","106","31%","88","39","44%","11","10","2","15"
"535",14,"Adam Jahn","198",21,"1150","13","11","8","3","1","11","2","0","16","8","0","0","0","258","76%","3","4","25%","111","15","14","10","2.9","189","35%","147","83","34%","12","20","16","20"
"536",50,"Sam Johnson","197",10,"368","3","2","7","1","0","3","3","0","5","1","0","0","0","72","63%","2","3","0","53","9","5","3","0.91","88","31%","69","44","25%","5","5","2","12"
"537",19,"B. Vazquez","197",19,"851","8","6","11","2","2","6","0","0","17","9","0","0","0","188","61%","8","4","0","115","23","13","6","2.6","175","37%","136","71","39%","10","21","8","18"
"538",11,"Samuel Tetteh Kotoko","196",10,"362","4","4","6","0","0","0","0","0","8","1","0","0","0","91","77%","0","0","0","30","2","6","4","1.2","65","25%","38","19","26%","3","14","7","8"
"539",9,"Fanendo Adi","194",12,"234","1","1","11","0","0","1","0","0","2","1","1","1","100%","58","62%","1","1","0","21","4","1","1","0.18","42","43%","33","20","40%","2","4","1","6"
"540",19,"Robbie Robinson","194",12,"482","4","3","8","0","0","7","1","0","8","2","0","0","0","90","82%","5","1","0","52","6","5","0","1.1","89","30%","77","23","22%","14","7","7","21"
"541",20,"Gelmin Javier Rivas","193",13,"541","7","7","6","2","0","3","0","0","15","5","0","0","0","114","79%","3","0","0","51","5","4","0","2","103","36%","82","52","37%","10","7","7","9"
"542",31,"E. Torres","190",13,"553","4","3","9","1","0","0","1","0","15","6","0","0","0","92","72%","4","2","0","50","9","7","3","3.2","91","34%","75","35","23%","10","5","10","5"
"543",50,"Erik Sorga","190",17,"764","6","4","11","1","0","1","1","0","16","4","0","0","0","182","83%","1","2","0","60","17","14","7","2.1","142","29%","105","47","23%","14","20","10","28"
"544",25,"Mathias Jorgensen","185",8,"294","2","2","6","0","0","2","0","0","7","1","0","0","0","43","51%","2","1","100%","36","4","2","1","1.01","49","22%","41","22","14%","5","2","5","5"
"545",6,"Danilo Silva","0",1,"38","1","1","0","0","0","0","0","0","0","0","0","0","0","14","79%","0","0","0","1","0","3","0","0","4","75%","1","3","67%","0","0","6","2"
"546",5,"Vito Nova Wormgoor","0",2,"115","2","1","0","0","0","0","1","0","0","0","0","0","0","81","95%","0","0","0","3","1","12","3","0","15","80%","2","8","100%","0","0","2","12"
"547",7,"P. Arriola","0",1,"29","0","0","1","0","0","0","0","0","3","1","0","0","0","18","78%","0","2","0","2","1","1","0","0.32","8","63%","5","1","0","3","2","2","2"
"548",21,"F. Gutiérrez","0",1,"13","0","0","1","0","0","0","0","0","0","0","0","0","0","9","56%","0","0","0","4","0","2","1","0","2","100%","1","1","100%","0","1","2","2"
"549",7,"Aleksandar Katai","0",2,"118","2","2","0","0","0","0","2","0","8","0","0","0","0","49","65%","0","4","25%","14","3","5","1","0.62","24","54%","16","5","80%","5","4","4","7"
"550",55,"B. Beckeles","0",2,"77","1","1","1","0","0","0","2","0","0","0","0","0","0","36","81%","0","1","100%","5","4","1","0","0","12","67%","5","3","100%","2","2","2","6"
"551",14,"Dom Dwyer","0",2,"131","2","2","0","0","1","1","0","0","2","0","0","0","0","16","81%","1","0","0","15","4","2","1","0.12","22","18%","18","10","20%","0","2","4","2"
"552",2,"J. Moreira","0",1,"91","1","1","0","0","0","0","0","0","1","0","0","0","0","58","84%","0","2","50%","6","1","6","1","0.15","15","73%","6","4","100%","5","2","3","10"
"553",99,"A. Diomande","0",1,"14","0","1","1","0","0","0","0","0","1","0","0","0","0","3","33%","0","0","0","1","0","0","0","0.1","1","100%","1","0","0","1","0","0","0"
"554",3,"Ike Opara","0",2,"193","2","0","0","2","0","0","0","0","2","2","0","0","0","53","81%","0","0","0","7","2","16","4","0.44","31","71%","11","11","64%","3","6","17","10"
"555",16,"Seth Sinovic","0",1,"19","0","0","1","0","0","0","0","0","0","0","0","0","0","13","77%","0","2","0","1","0","0","0","0","4","75%","2","1","100%","0","0","0","1"
"556",7,"J. Martínez","0",1,"69","1","1","0","0","0","0","0","0","1","0","0","0","0","19","84%","0","1","0","5","0","0","0","0.03","7","14%","6","4","0","0","0","0","0"
"557",27,"D. Asprilla","0",3,"63","0","0","3","0","0","0","1","0","1","0","0","0","0","18","67%","0","2","50%","8","0","5","2","0.41","21","52%","15","3","33%","10","2","5","0"
"558",40,"Renzo Jose Zambrano","0",5,"107","1","1","4","0","0","0","1","0","0","0","0","0","0","54","91%","1","1","0","3","0","6","0","0","22","59%","14","1","0","7","7","2","7"
"559",8,"Luka Stojanovic","0",2,"71","1","1","1","0","0","0","0","0","1","0","0","0","0","19","84%","0","0","0","2","0","4","1","0.06","11","45%","3","5","20%","0","1","6","0"
"560",20,"Jimmy McLaughlin III","0",1,"4","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"561",17,"J. Hamilton","0",2,"23","0","0","2","0","0","1","0","0","0","0","0","0","0","6","83%","0","0","0","5","3","0","0","0","12","58%","10","6","50%","1","2","0","0"
"562",28,"Sam Nicholson","0",2,"177","2","2","0","0","0","2","0","0","3","0","0","0","0","59","78%","2","13","31%","19","3","5","3","0.07000000000000001","33","36%","24","4","25%","11","4","4","12"
"563",17,"J. Kiesewetter","0",2,"34","0","0","2","0","0","0","0","0","0","0","0","0","0","4","50%","0","0","0","6","1","0","0","0","4","0","4","2","0","0","0","0","3"
"564",2,"Alvin Jones","0",1,"51","0","0","1","0","0","0","0","0","2","0","0","0","0","11","73%","0","0","0","1","0","2","2","0.13","7","57%","4","2","100%","1","3","1","4"
"565",21,"R. Peña","0",1,"45","0","0","1","0","0","0","0","0","1","0","0","0","0","11","64%","0","2","0","7","0","0","0","0.13","10","40%","8","5","0","1","2","0","1"
"566",19,"M. Salazar","0",1,"15","0","0","1","0","0","0","1","0","0","0","0","0","0","3","100%","0","0","0","1","0","0","0","0","3","0","2","0","0","1","0","0","0"
"567",23,"Gedion Zelalem","0",1,"20","0","0","1","0","0","0","0","0","0","0","0","0","0","15","87%","0","0","0","2","0","0","0","0","2","50%","0","0","0","0","1","1","1"
"568",19,"Harry Shipp","0",2,"51","0","0","2","0","0","1","0","0","0","0","0","0","0","26","69%","1","3","33%","7","2","0","0","0","5","40%","2","2","50%","1","1","1","4"
"569",99,"Justin Dhillon","0",1,"12","0","0","1","0","0","0","0","0","0","0","0","0","0","1","100%","0","0","0","2","0","0","0","0","3","0","3","3","0","0","0","0","0"
"570",20,"Joshua Sims","0",2,"55","0","0","2","0","0","0","0","0","0","0","0","0","0","19","84%","1","1","100%","5","1","3","1","0","9","44%","6","2","100%","0","0","2","2"
"571",16,"Luis Argudo","0",1,"22","0","0","1","0","0","0","0","0","0","0","0","0","0","10","90%","0","0","0","2","0","0","0","0","7","14%","4","2","0","2","1","0","1"
"572",27,"Foster Langsdorf","0",1,"15","0","0","1","0","0","0","0","0","0","0","0","0","0","7","71%","0","0","0","1","0","0","0","0","3","0","2","1","0","0","0","0","0"
"573",14,"Juan Pablo Torres","0",2,"5","0","0","2","0","0","0","0","0","0","0","0","0","0","2","100%","0","0","0","1","0","0","0","0","2","0","1","0","0","1","1","1","0"
"574",44,"Axel Sjoberg","0",2,"178","2","1","0","0","0","0","0","0","2","1","0","0","0","47","83%","1","0","0","1","0","9","1","0.15","20","85%","4","11","82%","0","2","17","7"
"575",26,"Tommy McCabe","0",1,"16","0","0","1","0","0","0","0","0","0","0","0","0","0","13","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"576",99,"Matheus Ais Aias","0",4,"31","0","0","4","1","0","0","0","0","1","1","0","0","0","7","71%","1","0","0","2","0","1","1","0.3","5","20%","2","1","0","0","2","1","2"
"577",2,"N. Billingsley","0",1,"11","0","0","1","0","0","0","0","0","0","0","0","0","0","6","83%","0","0","0","0","0","2","0","0","4","100%","0","1","100%","0","2","0","2"
"578",21,"Franko Kovacevic","0",1,"95","1","0","0","0","0","0","0","0","3","1","0","0","0","26","77%","0","3","0","8","1","2","0","0.08","21","52%","17","1","0","12","1","2","4"
"579",98,"Blake Bodily","0",2,"18","0","0","2","0","0","0","0","0","0","0","1","1","100%","17","82%","0","1","0","5","0","0","0","0","6","67%","4","2","50%","2","2","0","1"
"580",22,"A. Alvarado","0",2,"34","0","0","2","0","0","0","0","0","0","0","0","0","0","9","100%","0","0","0","3","0","2","0","0","9","33%","4","1","100%","2","4","3","1"
"581",3,"Cristian Daniel Gutierrez Zuniga","0",1,"42","0","0","1","0","0","1","0","0","0","0","0","0","0","29","72%","2","2","50%","3","1","4","0","0","6","83%","4","3","67%","0","2","4","5"
"582",81,"R. Dally","0",4,"84","0","0","4","0","0","0","0","0","0","0","0","0","0","15","73%","1","2","50%","5","1","1","1","0","19","16%","13","9","22%","2","2","0","2"
"583",24,"Jerome Williams","0",1,"16","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"584",28,"Kai Koreniuk","0",4,"28","0","0","4","1","0","1","0","0","2","2","0","0","0","6","83%","0","0","0","3","0","0","0","0.41","3","33%","2","1","0","0","0","1","0"
"585",16,"John Skahan","0",2,"40","0","0","2","0","0","0","0","0","0","0","0","0","0","19","79%","0","0","0","6","1","0","0","0","6","0","3","1","0","2","1","1","1"
